Nombre,Desc,Link,Imagen,Categoria,Observacion
Wiki Fiuba,espacio colaborativo donde podés encontrar materiales de estudio para la carrera,http://wiki.foros-fiuba.com.ar/,images/fiuba-map.jpg,Material y apuntes,
SK FIUBA,"Guias, examenes y apuntes para las materias de ingeniería industrial",https://sites.google.com/view/skfiuba/materias?authuser=0,,Material y apuntes,
Fiuba Drive,Drive creado para subir material de tu curso y encontrar el de otros,https://sites.google.com/view/drive-fiuba/,,Material y apuntes,
Filadd,Distintos recursos de varias materias de la fiuba,https://filadd.com/resultados-aportes/uba/ingenieria-uba/probabilidad-y-estadistica-a/51/2349,,Material y apuntes,
Dolly Fiuba,Encuestas sobre cada catedra y materia de la fiuba,https://dollyfiuba.com/,,Cursos y Opiniones,
FIUBA Opiniones de Cursos,Opiniones sobre materias del depto de computación,https://fiuba-opiniones-de-curso.herokuapp.com/,,Cursos y Opiniones,Ultima actualización 1c 2021
Fiuba Consultas,"Grupo general sobre consultas, temas administrativos, noticias, polemica y memes",https://www.facebook.com/groups/fiubaconsultas2,,General,
Foros Fiuba,"Foro general sobre discusión, materias y carreras de la fiuba",http://www.foros-fiuba.com.ar/,,General,En desuso
Fiuba Map,Diagrama interactivo de correlatividades de materias de cada carrera ,https://fede.dm/FIUBA-Map/,,Organizativo,
Fiuba Plan,Organizador de horarios ,https://fede.dm/FIUBA-Plan/,,Organizativo,
Github,Ultimos proyectos ,https://github.com/topics/fiuba?o=desc&s=updated,,Material y apuntes,
